District,District_Code,Total_Beneficiaries,Sanctioned_Amount,Request_ID,Request_Date,Year,Requested_Amount,Granted_Amount,Request_Status,District_Population,Scheme_Name,Applicant_Income_Bracket,Application_Channel,Officer_Review_Score,Processing_Time_Days
Sonitpur,D004,304,382736,REQ00001,2021-01-31,2021,17049,17049,Approved,629895,MGNREGA,BPL,CSC,6.99,44
Lakhimpur,D018,812,896448,REQ00002,2022-09-25,2022,3082,3082,Approved,1175850,PMAY,BPL,Online,5.72,33
Nalbari,D020,317,340458,REQ00003,2020-03-25,2020,47925,47925,Approved,1124594,PMGSY,Middle,Offline,7.3,29
Morigaon,D019,2378,3157984,REQ00004,2018-01-27,2018,11463,11463,Approved,1365476,NSAP,Middle,Offline,9.05,10
Cachar,D007,2857,1725628,REQ00005,2019-01-15,2019,25898,25898,Approved,1309480,NRLM,BPL,Offline,5.53,52
Dibrugarh,D002,3863,4052287,REQ00006,2019-05-27,2019,25807,25807,Approved,1716807,PMGSY,BPL,Offline,5.53,37
Cachar,D007,669,365274,REQ00007,2020-07-22,2020,19965,19965,Approved,1794364,MGNREGA,BPL,Online,9.16,18
Karbi Anglong,D015,3088,2056608,REQ00008,2022-02-25,2022,24283,24283,Approved,499483,NRLM,BPL,CSC,7.53,39
Barpeta,D006,4475,5575850,REQ00009,2020-09-29,2020,11708,11708,Approved,1121132,NSAP,Low,Offline,5.06,44
Bongaigaon,D011,558,409572,REQ00010,2018-05-12,2018,21673,21673,Approved,1084926,NRLM,Low,Online,7.09,59
Morigaon,D019,2677,1919409,REQ00011,2023-08-07,2023,26928,26928,Approved,1310987,NSAP,Middle,Online,5.07,9
Jorhat,D008,4698,4937598,REQ00012,2020-12-12,2020,49956,49956,Approved,1875207,NSAP,Middle,CSC,5.07,24
Jorhat,D008,1233,1258893,REQ00013,2023-07-15,2023,6957,6957,Approved,871013,PMAY,BPL,Online,6.48,51
Hailakandi,D014,4985,2816525,REQ00014,2022-04-26,2022,26009,7668,Rejected,248154,PMGSY,Middle,Offline,2.17,44
Sonitpur,D004,4498,5703464,REQ00015,2020-12-28,2020,43006,3655,Rejected,863361,NRLM,Low,Offline,2.55,30
Kamrup,D001,2257,3374215,REQ00016,2023-08-13,2023,12708,871,Rejected,2329292,NRLM,Middle,CSC,4.88,39
Cachar,D007,1352,1192464,REQ00017,2019-10-24,2019,36348,18,Rejected,2249360,PMGSY,Middle,Offline,3.97,2
Sonitpur,D004,3073,4299127,REQ00018,2021-06-13,2021,16692,16692,Approved,530331,MGNREGA,BPL,CSC,6.63,6
Karimganj,D016,666,851148,REQ00019,2023-12-22,2023,9241,3893,Rejected,1311728,PMGSY,BPL,Online,4.18,34
Nalbari,D020,3566,5302642,REQ00020,2020-05-17,2020,36343,6591,Rejected,1766239,NRLM,Middle,Offline,3.18,29
Kokrajhar,D017,3798,2366154,REQ00021,2020-10-12,2020,15725,15725,Approved,1165171,NRLM,BPL,Online,8.93,38
Jorhat,D008,158,90376,REQ00022,2018-08-30,2018,16003,16003,Approved,497197,PMAY,BPL,Offline,5.55,33
Jorhat,D008,2381,2821485,REQ00023,2023-06-12,2023,15040,15040,Approved,2182525,MGNREGA,Middle,CSC,6.14,16
Karimganj,D016,3434,2383196,REQ00024,2019-01-22,2019,7352,1765,Rejected,1924287,NRLM,Middle,Offline,3.15,30
Dibrugarh,D002,906,509172,REQ00025,2022-07-08,2022,48724,3580,Rejected,997793,MGNREGA,Low,Online,4.91,35
Karbi Anglong,D015,1248,1163136,REQ00026,2020-01-22,2020,19254,19254,Approved,2058625,MGNREGA,Low,Online,6.22,52
Lakhimpur,D018,902,497002,REQ00027,2018-03-02,2018,7112,681,Rejected,2218963,NSAP,BPL,Offline,3.7,14
Goalpara,D013,580,387440,REQ00028,2022-04-02,2022,1141,1141,Approved,1396421,NRLM,Low,Offline,6.75,28
Lakhimpur,D018,4086,2688588,REQ00029,2020-02-17,2020,20445,958,Rejected,2474131,PMGSY,BPL,CSC,4.8,4
Bongaigaon,D011,568,312968,REQ00030,2023-05-07,2023,33954,33954,Approved,2329987,MGNREGA,Middle,Online,5.42,6
Barpeta,D006,661,733049,REQ00031,2018-10-06,2018,45250,13230,Rejected,1232702,PMAY,BPL,CSC,4.8,38
Nalbari,D020,425,481950,REQ00032,2018-12-02,2018,28474,28474,Approved,2392709,PMGSY,Middle,CSC,9.7,21
Golaghat,D009,1773,2101005,REQ00033,2021-07-10,2021,16642,16642,Approved,1458278,NSAP,Low,Online,5.97,30
Bongaigaon,D011,694,353246,REQ00034,2023-02-21,2023,41708,3276,Rejected,1094033,PMAY,Middle,CSC,3.88,33
Golaghat,D009,1185,1724175,REQ00035,2021-11-30,2021,5508,5508,Approved,861638,NRLM,BPL,Offline,7.65,29
Lakhimpur,D018,2578,2902828,REQ00036,2023-12-07,2023,1512,567,Rejected,634473,NRLM,Middle,CSC,3.56,57
Tinsukia,D005,2266,1400388,REQ00037,2019-03-15,2019,49655,49655,Approved,1381771,MGNREGA,Middle,Offline,6.42,39
Cachar,D007,2908,2058864,REQ00038,2020-12-17,2020,34122,8228,Rejected,1976605,PMAY,Low,Online,2.08,54
Golaghat,D009,461,231883,REQ00039,2021-09-28,2021,9573,2145,Rejected,2053192,MGNREGA,Middle,CSC,3.34,36
Hailakandi,D014,4694,2389246,REQ00040,2019-04-04,2019,5931,5931,Approved,351112,MGNREGA,Middle,CSC,6.39,54
Dhemaji,D012,4871,5187615,REQ00041,2019-08-30,2019,29166,29166,Approved,1729459,PMAY,BPL,Offline,7.48,58
Dibrugarh,D002,3031,2167165,REQ00042,2020-10-19,2020,44708,44708,Approved,1904470,NRLM,BPL,CSC,6.34,40
Tinsukia,D005,2039,2824015,REQ00043,2019-10-28,2019,12603,12603,Approved,1593286,PMAY,Low,Online,5.77,51
Hailakandi,D014,2132,1648036,REQ00044,2019-10-15,2019,46958,46958,Approved,2174217,NSAP,BPL,Online,5.4,15
Cachar,D007,3870,3320460,REQ00045,2021-06-04,2021,15915,193,Rejected,1576830,MGNREGA,BPL,Offline,3.04,18
Nagaon,D003,2386,2049574,REQ00046,2023-09-18,2023,27193,8785,Rejected,683778,NRLM,Middle,Online,4.56,57
Golaghat,D009,1562,1708828,REQ00047,2020-12-23,2020,3507,3507,Approved,1649916,PMGSY,BPL,Offline,5.08,47
Bongaigaon,D011,3674,4114880,REQ00048,2023-09-26,2023,8578,8578,Approved,1268383,PMGSY,Low,Online,8.11,3
Hailakandi,D014,113,116616,REQ00049,2020-03-18,2020,24869,24869,Approved,1584959,PMAY,Low,CSC,6.69,40
Bongaigaon,D011,1120,1385440,REQ00050,2021-05-15,2021,34234,13382,Rejected,1440067,NRLM,Low,Offline,2.47,36
Tinsukia,D005,1671,1554030,REQ00051,2022-04-02,2022,45388,45388,Approved,1462275,MGNREGA,Middle,CSC,6.65,26
Lakhimpur,D018,103,83533,REQ00052,2021-03-21,2021,14774,14774,Approved,1551611,PMGSY,Low,CSC,5.23,30
Karbi Anglong,D015,3722,4432902,REQ00053,2020-05-25,2020,34500,5560,Rejected,2361962,PMAY,Low,Offline,4.65,43
Nalbari,D020,2845,1692775,REQ00054,2020-08-20,2020,45092,45092,Approved,818047,MGNREGA,Low,Online,7.22,2
Dibrugarh,D002,2105,2075530,REQ00055,2018-10-26,2018,30846,30846,Approved,1810522,PMGSY,Low,Online,8.06,32
Goalpara,D013,2098,1365798,REQ00056,2018-01-23,2018,7985,7985,Approved,2372472,MGNREGA,Low,Online,7.86,30
Dibrugarh,D002,4666,3522830,REQ00057,2019-05-13,2019,30914,13130,Rejected,2427728,NSAP,BPL,CSC,4.32,36
Nalbari,D020,2699,3972928,REQ00058,2022-12-18,2022,41150,41150,Approved,2497941,PMGSY,Middle,Offline,5.38,29
Barpeta,D006,3988,3828480,REQ00059,2020-11-27,2020,17203,17203,Approved,2232547,NRLM,Middle,CSC,6.66,41
Jorhat,D008,2349,2231550,REQ00060,2018-11-14,2018,47762,47762,Approved,1608646,MGNREGA,Low,Offline,7.95,21
Lakhimpur,D018,760,487160,REQ00061,2019-09-10,2019,16155,16155,Approved,1097383,MGNREGA,Low,CSC,5.04,5
Hailakandi,D014,3439,2881882,REQ00062,2023-03-24,2023,28248,28248,Approved,1833584,MGNREGA,BPL,Offline,5.63,58
Morigaon,D019,260,358020,REQ00063,2022-04-08,2022,32259,15445,Rejected,1835722,NRLM,BPL,Offline,3.79,55
Hailakandi,D014,4509,5703885,REQ00064,2020-06-22,2020,32996,8943,Rejected,321738,NSAP,BPL,Offline,3.61,25
Bongaigaon,D011,3412,4234292,REQ00065,2019-11-08,2019,31630,31630,Approved,313105,PMGSY,BPL,CSC,7.63,59
